file,Afterglow web zero_point,Afterglow web err
carina_nebula_v_000.fits,21.021,0.013
m16_nebula_v_000.fits,21.21,0.006
m8_nebula_v_000.fits,20.869,0.011
ngc5128_galaxy_v_001.fits,21.155,0.008
nsv2849_star_v_000.fits,21.375,0.024
nsv2849_star_v_001.fits,21.404,0.034
nsv3281_star_v_000.fits,19.302,0.017
ngc6334_nebula_v_000.fits,21.28,0.009
m20_nebula_v_000.fits,21.194,0.007
m31_galaxy_v_000.fits,21.631,0.024
neptune_planet_v_000.fits,18.375,0.043
ngc2070_nebula_v_000.fits,21.365,0.035
ngc2489_cluster_halpha_000.fits,17.671,0.012
ngc253_galaxy_v_000.fits,21.586,0.015
ngc2997_galaxy_v_001.fits,21.339,0.015
ngc2997_galaxy_v_002.fits,21.292,0.011
ngc2997_galaxy_v_003.fits,21.44,0.01
ngc2997_galaxy_v_000.fits,21.445,0.013
ngc3372_nebula_v_000.fits,21.014,0.013
ngc3628_galaxy_v_001.fits,20.075,0.01
ngc3628_galaxy_v_002.fits,20.524,0.019
ngc5128_galaxy_v_000.fits,20.745,0.013
ngc5286_globular_v_000.fits,20.713,0.016
ngc6302_pn_v_000.fits,21.19,0.004
ngc6302_pn_v_001.fits,20.801,0.01
ngc6334_nebula_v_001.fits,21.082,0.009
ngc6634_cluster_v_000.fits,21.091,0.008
ngc7023_nebula_v_000.fits,21.445,0.013
ngc7293_pn_v_000.fits,21.038,0.01
ngc3628_galaxy_v_000.fits,20.93,0.407
ngc3628_galaxy_v_reduced_000.fits,21.052,0.016
m104_galaxy_v_000.fits,21.292,0.041
uranus_planet_v_000.fits,17.996,0.166
ngc1846_cluster_r_000.fits,21.06,0.015
ngc1982_nebula_r_000.fits,19.407,0.02
ngc5946_galaxy_r_000.fits,19.352,0.012
m31_galaxy_r_000.fits,20.928,0.01
m90_galaxy_r_000.fits,21.356,0.074
ngc6334_nebula_r_000.fits,21.448,0.006
ngc7293_pn_r_000.fits,21.407,0.01
ngc7048_pn_r_000.fits,21.546,0.006
ngc5128_galaxy_b_000.fits,21.046,0.01
ngc5128_galaxy_b_001.fits,21.147,0.012
ngc5286_globular_b_000.fits,18.047,0.023
