file,Afterglow web zero_point,Afterglow web err
carina_nebula_v_000.fits,21.021,0.013
m16_nebula_v_000.fits,21.21,0.006
m51_galaxy_oiii_000.fits,17.251,0.041
m8_nebula_v_000.fits,20.869,0.011
ngc5128_galaxy_v_001.fits,21.155,0.008
ngc1846_cluster_r_000.fits,21.06,0.015
ngc1982_nebula_r_000.fits,19.407,0.02
ngc5946_galaxy_r_000.fits,19.352,0.012
nsv2849_star_v_000.fits,21.375,0.024
nsv2849_star_v_001.fits,21.404,0.034
nsv3281_star_v_000.fits,19.302,0.017
m31_galaxy_r_000.fits,20.928,0.01
carina_nebula_oiii_000.fits,18.209,0.008
ngc6334_nebula_v_000.fits,21.28,0.009
ngc346_cluster_gp_000.fits,20.551,0.508
47tuc_globular_gp_000.fits,21.716,0.596
ngc1313_galaxy_rp_000.fits,24.729,0.003
ngc1365_galaxy_rp_000.fits,24.943,0.002
ngc1300_galaxy_rp_000.fits,24.281,0.398
47tuc_globular_ip_000.fits,20.029,0.589
ngc3918_pn_oiii_000.fits,18.382,0.004
ngc2261_nebula_oiii_000.fits,18.408,0.003
m104_galaxy_oiii_000.fits,18.224,0.006
m42_nebula_oiii_001.fits,17.879,0.1
m20_nebula_v_000.fits,21.194,0.007
m31_galaxy_v_000.fits,21.631,0.024
m90_galaxy_r_000.fits,21.356,0.074
neptune_planet_v_000.fits,18.375,0.043
ngc2070_nebula_v_000.fits,21.365,0.035
ngc2489_cluster_halpha_000.fits,17.671,0.012
ngc253_galaxy_v_000.fits,21.586,0.015
ngc2997_galaxy_v_001.fits,21.339,0.015
ngc2997_galaxy_v_002.fits,21.292,0.011
ngc2997_galaxy_v_003.fits,21.44,0.01
ngc2997_galaxy_v_000.fits,21.445,0.013
ngc3372_nebula_v_000.fits,21.014,0.013
ngc3628_galaxy_v_001.fits,20.075,0.01
ngc3628_galaxy_v_002.fits,20.524,0.019
ngc5128_galaxy_b_000.fits,21.046,0.01
ngc5128_galaxy_v_000.fits,20.745,0.013
ngc5128_galaxy_b_001.fits,21.147,0.012
ngc5286_globular_v_000.fits,20.713,0.016
ngc6302_pn_v_000.fits,21.19,0.004
ngc6302_pn_v_001.fits,20.801,0.01
ngc6334_nebula_r_000.fits,21.448,0.006
ngc6334_nebula_v_001.fits,21.082,0.009
ngc6634_cluster_v_000.fits,21.091,0.008
ngc7023_nebula_v_000.fits,21.445,0.013
ngc7293_pn_v_000.fits,21.038,0.01
ngc7293_pn_halpha_000.fits,17.275,0.015
ngc7293_pn_r_000.fits,21.407,0.01
m42_nebula_oiii_000.fits,17.64,0.042
ngc3628_galaxy_v_000.fits,20.93,0.407
ngc7048_pn_r_000.fits,21.546,0.006
ngc3628_galaxy_v_reduced_000.fits,21.052,0.016
ngc5286_globular_b_000.fits,18.047,0.023
abell36_pn_rp_000.fits,25.132,0.016
ngc5985_galaxy_rp_000.fits,24.542,0.291
ic3258_galaxy_ip_000.fits,24.219,0.021
abell36_pn_ip_000.fits,24.357,0.018
ngc5964_galaxy_ip_000.fits,24.322,0.016
m97_pn_gp_000.fits,25.003,0.023
ngc3231_galaxy_gp_000.fits,24.74,0.029
ngc3718_galaxy_gp_000.fits,25.044,0.017
m42_nebula_halpha_000.fits,18.078,0.019
polaris_star_halpha_000.fits,18.124,0.009
m104_galaxy_v_000.fits,21.292,0.041
m97_pn_oiii_000.fits,18.206,0.009
horsehead_nebula_rp_000.fits,20.956,0.004
pleiades_cluster_rp_000.fits,20.983,0.003
lds987_galaxy_gp_000.fits,21.52,0.002
ngc1977_nebula_rp_000.fits,20.967,0.009
uranus_planet_v_000.fits,17.996,0.166
