file,Afterglow web zero_point,Afterglow web err
lsc0m476-sq34-20251206-0269-e91.fits,18.382,0.004
lsc0m476-sq34-20251213-0656-e91.fits,18.408,0.003
lsc0m476-sq34-20251217-0382-e91.fits,18.224,0.006
tfn0m419-sq32-20251219-0100-e91.fits,18.206,0.009
m42- OIII_12270552_OIII_000.fits,17.879,0.1
M51 OIII_11499671_OIII_000.fits,17.251,0.041
carina OIII_8981892_OIII_000.fits,18.209,0.008
ngc1976oIII_10757808_OIII_000.fits,17.64,0.042
orion nebula halpha_8777660_Halpha_000.fits,18.078,0.019
polarisHalpha_10104904_Halpha_000.fits,18.124,0.009
ngc 7293_test_13909269_Halpha_002.fits,17.275,0.015
ngc 2489_14014424_Halpha_009.fits,17.671,0.012
