file,Afterglow web zero_point,Afterglow web err
ngc346_cluster_gp_000.fits,20.551,0.508
47tuc_globular_gp_000.fits,21.716,0.596
ngc1313_galaxy_rp_000.fits,24.729,0.003
ngc1365_galaxy_rp_000.fits,24.943,0.002
ngc1300_galaxy_rp_000.fits,24.281,0.398
47tuc_globular_ip_000.fits,20.029,0.589
abell36_pn_rp_000.fits,25.132,0.016
ngc5985_galaxy_rp_000.fits,24.542,0.291
ic3258_galaxy_ip_000.fits,24.219,0.021
abell36_pn_ip_000.fits,24.357,0.018
ngc5964_galaxy_ip_000.fits,24.322,0.016
m97_pn_gp_000.fits,25.003,0.023
ngc3231_galaxy_gp_000.fits,24.74,0.029
ngc3718_galaxy_gp_000.fits,25.044,0.017
horsehead_nebula_rp_000.fits,20.956,0.004
pleiades_cluster_rp_000.fits,20.983,0.003
lds987_galaxy_gp_000.fits,21.52,0.002
ngc1977_nebula_rp_000.fits,20.967,0.009
